model_names,accuracies
Logistic,0.4194327221014501
L1-Logistic,0.40016489836725144
L2-Logistic,0.4194327221014501
Entropy Random Forest,0.38123400817968056
Gini Random Forest,0.37932501747664754
Sequential Neural Network,0.4224892636674989
LSTM,0.5204597701149426
SimpleRNN,0.5257471264367816
GRU,0.5275862068965518
XGboost,0.4317156151818809
