,Close(t)
73,0.05298022940277021
74,0.045466979173744565
75,0.03975140315497633
76,0.040439952000491386
77,0.03399318070898412
78,0.037194367934596934
79,0.0379577071562137
80,0.04363493321617236
81,0.04218718248899507
82,0.047293137378304526
83,0.044210341726776126
84,0.04173509853472923
85,0.04020141843926489
86,0.0401991906408278
87,0.03861013384135625
88,0.041697066832839205
89,0.04387887714503176
90,0.04332351882036163
91,0.04365768858592245
92,0.040941206648832607
93,0.03908720096380926
94,0.03884516657646736
95,0.03867012527069741
96,0.03959641203514001
97,0.03654687423170791
98,0.037400757546945676
99,0.0337812216005427
100,0.02950734942747968
101,0.03998564024778847
102,0.03789867049763129
103,0.0385049499294345
104,0.037655522211070866
105,0.043573668759152875
106,0.040567573025243664
107,0.039581453959919674
108,0.038776423081837694
109,0.03871293082638115
110,0.039523531200555795
111,0.040527313524916564
112,0.04167606187614682
113,0.03939670581810249
114,0.03857830814939807
115,0.038714681239438845
116,0.03496672862598463
117,0.04100851798732415
118,0.04115157447267613
119,0.041209656360499794
120,0.047623010675450994
121,0.053910176121788014
122,0.052435850941825665
123,0.04859687684937107
124,0.054779017512246134
125,0.05181079435176715
126,0.05445455458273256
127,0.05328177783407388
128,0.0646117241711834
129,0.06461649802497711
130,0.06302171260095309
131,0.06610307609634335
132,0.06620300876909203
133,0.06271570857277527
134,0.061826976124843266
135,0.06329780047869023
136,0.06237708321034029
137,0.05800152795147091
138,0.058516467647354145
139,0.05696782947666944
140,0.06120971682931449
141,0.06602176145339024
142,0.07374537950625938
143,0.07234536731701936
144,0.07576137796334985
145,0.07319686370536028
146,0.07364608334734989
147,0.07277819672765053
148,0.07218051023267603
149,0.07055278521747531
150,0.07742156518434794
151,0.07977857593077022
152,0.08046919344626256
153,0.08182035319834678
154,0.08597281035658937
155,0.0811699951831815
156,0.0869543146965794
157,0.08871952670103946
158,0.08712251347857834
159,0.08898733989886749
160,0.08195656715992776
161,0.08206588841180408
162,0.07879006993854935
163,0.08608324550768422
164,0.07684313323300813
165,0.07697584636847372
166,0.07823932633921317
167,0.07788622028693727
168,0.08240419551731946
169,0.07794589345935883
170,0.07258406000670568
171,0.06409010107998893
172,0.06465946270912067
173,0.06261577590002658
174,0.0599489420423915
175,0.06004219131982895
176,0.06611867068540288
177,0.06365695341243822
178,0.06352853674538698
179,0.06839595807346992
180,0.06961599597468647
181,0.06576031339395384
182,0.05209563429479279
183,0.050403939638756126
184,0.049855105580937434
185,0.05050323579766562
186,0.0
187,0.012819547849211785
188,0.006402692708145211
189,0.009431066426425133
190,0.004162959636588803
191,0.00863637889822956
192,0.009945369608469215
193,0.022197624498526566
194,0.022900494905422814
195,0.02258096495816274
196,0.0166371987280544
197,0.027038948759203804
198,0.03145460438994048
199,0.030373803891040926
200,0.03133414414587879
201,0.02528535313230848
202,0.023333006059134367
203,0.01768903784727202
204,0.025881130085765466
205,0.02613605387835044
206,0.02986618410430808
207,0.03225502054268853
208,0.03127112927580161
209,0.0332013574930648
210,0.031893321553583875
211,0.04075407158011855
212,0.0386403682487165
213,0.04126216875223078
214,0.04000489479142316
215,0.03330829181804425
216,0.0335686259782621
217,0.03398777034135124
218,0.03292924782682241
219,0.03340838361925269
220,0.029474409836302964
221,0.03713262609219807
222,0.03592786452312144
223,0.039428372381600865
224,0.03744897347026231
225,0.03279064693834456
226,0.03299289921073875
227,0.03748127654759986
228,0.04326225436334216
229,0.04359260504586798
230,0.04406839914064267
231,0.04661700055265314
232,0.0478873230471636
233,0.04727865668846355
234,0.06396248005523668
235,0.06142533589233114
236,0.06469956308098797
237,0.0670015153803226
238,0.06580518761961486
239,0.06539113536723905
240,0.06775896684892711
241,0.06975586989084266
242,0.08322975396671446
243,0.08024593621717598
244,0.07615919911282702
245,0.06293339630576918
246,0.060412164988842706
247,0.06435250391018406
248,0.07226437093098582
249,0.07991669943386866
250,0.07234107084860501
251,0.0733636303312211
252,0.07819445211355215
253,0.07903035391283357
254,0.07970728638078388
255,0.07548194838795709
256,0.0683512429762687
257,0.07004436978844349
258,0.07020365737669414
259,0.06280354748257981
260,0.06573596673960584
261,0.06480347396523138
262,0.07053639498611684
263,0.07646027015875133
264,0.07411583056065253
265,0.07845590017298855
266,0.07450044404796706
267,0.08700873662982787
268,0.07558999661215508
269,0.07795607768078545
270,0.07994104608821669
271,0.07721931291195376
272,0.07796260194763686
273,0.07923435659828544
274,0.07979051056525453
275,0.0796757789457453
276,0.08147918178055517
277,0.0718207207850889
278,0.07469903636578605
279,0.07485227707256466
280,0.07280063384048104
281,0.07411185234915775
282,0.07565714882218684
283,0.07469171645663568
284,0.07346865511468308
285,0.07228171593310302
286,0.07303025620795926
287,0.07206705164084516
288,0.07832843827669607
289,0.0774479805086732
290,0.07214486545768288
291,0.07132296696286307
292,0.06994236844571754
293,0.06752377498535621
294,0.06921053665913936
295,0.07041163827364079
296,0.06960628913863924
297,0.07110878005598457
298,0.06879234706680896
299,0.06831177911824056
300,0.06957939642893458
301,0.06853996932958066
302,0.07280047471202124
303,0.07151010203157714
304,0.0743357460920835
305,0.07115635946546205
306,0.07198557786943223
