model_names,accuracies
Logistic,0.4944827586206897
L1-Logistic,0.5025287356321839
L2-Logistic,0.4944827586206897
Entropy Random Forest,0.5220689655172415
Gini Random Forest,0.5119540229885058
Sequential Neural Network,0.5103448275862069
LSTM,0.5131034482758622
SimpleRNN,0.5055172413793103
GRU,0.5126436781609196
XGboost,0.5006896551724139
