model_names,accuracies
Logistic,0.5094252873563219
L1-Logistic,0.4995402298850575
L2-Logistic,0.5094252873563219
Entropy Random Forest,0.5073563218390804
Gini Random Forest,0.5048275862068966
Sequential Neural Network,0.5179310344827587
LSTM,0.5091954022988506
SimpleRNN,0.5055172413793104
GRU,0.4931034482758621
XGboost,0.5050574712643678
