model_names,accuracies
Logistic,0.3524508013816343
L1-Logistic,0.4438655408672462
L2-Logistic,0.3524508013816343
Entropy Random Forest,0.365879833630741
Gini Random Forest,0.38653442757639556
Sequential Neural Network,0.2347338923845206
LSTM,0.5052873563218391
SimpleRNN,0.5064367816091954
GRU,0.4958620689655173
XGboost,0.4503129269589563
